,blue_fighter,red_fighter,blue_fighter_kd,red_fighter_kd,blue_fighter_sig_str,red_fighter_sig_str,blue_fighter_sig_str_perc,red_fighter_sig_str_perc,blue_fighter_total_str,red_fighter_total_str,blue_fighter_td,red_fighter_td,blue_fighter_td_perc,red_fighter_td_perc,blue_fighter_sub_att,red_fighter_sub_att,blue_fighter_rev,red_fighter_rev,blue_fighter_ctrl,red_fighter_ctrl,blue_fighter_sig_str_head,red_fighter_sig_str_head,blue_fighter_sig_str_body,red_fighter_sig_str_body,blue_fighter_sig_str_leg,red_fighter_sig_str_leg,blue_fighter_sig_str_distance,red_fighter_sig_str_distance,blue_fighter_sig_str_clinch,red_fighter_sig_str_clinch,blue_fighter_sig_str_ground,red_fighter_sig_str_ground
512,Fares Ziam,Mike Davis,0,0,35 of 56,20 of 35,62%,57%,58 of 83,30 of 49,4 of 7,1 of 8,57%,12%,0,1,2,3,7:11,3:59,29 of 50,13 of 26,5 of 5,5 of 6,1 of 1,2 of 3,20 of 33,13 of 24,5 of 6,2 of 2,10 of 17,5 of 9
513,Muhammad Naimov,Kaan Ofli,0,0,32 of 92,31 of 66,34%,46%,79 of 176,57 of 97,2 of 2,0 of 6,100%,0%,0,0,0,0,5:36,3:35,23 of 79,5 of 30,8 of 12,16 of 21,1 of 1,10 of 15,22 of 73,14 of 44,6 of 6,17 of 22,4 of 13,0 of 0
514,Shamil Gaziev,Thomas Petersen,1,0,14 of 32,19 of 34,43%,55%,14 of 32,19 of 35,0 of 0,1 of 1,---,100%,0,0,0,0,0:01,0:08,9 of 27,4 of 18,5 of 5,7 of 8,0 of 0,8 of 8,13 of 30,18 of 31,1 of 2,1 of 3,0 of 0,0 of 0
515,Terrance McKinney,Damir Hadzovic,0,0,54 of 69,4 of 13,78%,30%,69 of 90,4 of 13,0 of 0,1 of 2,---,50%,1,0,1,0,1:00,0:08,53 of 67,3 of 9,1 of 2,0 of 3,0 of 0,1 of 1,8 of 18,4 of 13,0 of 0,0 of 0,46 of 51,0 of 0
516,Jasmine Jasudavicius,Mayra Bueno Silva,0,0,56 of 105,37 of 72,53%,51%,164 of 229,41 of 76,3 of 5,0 of 0,60%,---,0,1,0,0,7:11,0:00,23 of 66,23 of 53,20 of 26,8 of 12,13 of 13,6 of 7,48 of 94,30 of 64,8 of 10,7 of 8,0 of 1,0 of 0
517,Bogdan Grad,Lucas Alexander,0,0,46 of 66,34 of 52,69%,65%,59 of 86,47 of 71,3 of 8,0 of 1,37%,0%,0,0,0,1,4:18,2:13,42 of 60,19 of 37,1 of 2,7 of 7,3 of 4,8 of 8,9 of 18,29 of 45,3 of 4,3 of 4,34 of 44,2 of 3
518,Hamdy Abdelwahab,Jamal Pogues,0,0,44 of 87,69 of 123,50%,56%,52 of 103,69 of 123,1 of 1,0 of 1,100%,0%,0,0,0,0,0:57,0:00,25 of 65,43 of 94,3 of 4,0 of 0,16 of 18,26 of 29,40 of 81,68 of 122,0 of 0,1 of 1,4 of 6,0 of 0
519,Islam Makhachev,Renato Moicano,0,0,6 of 19,9 of 27,31%,33%,18 of 31,18 of 37,1 of 2,0 of 0,50%,---,1,0,0,0,1:27,0:00,5 of 17,2 of 18,1 of 2,3 of 5,0 of 0,4 of 4,5 of 18,9 of 27,0 of 0,0 of 0,1 of 1,0 of 0
520,Merab Dvalishvili,Umar Nurmagomedov,0,0,111 of 259,104 of 237,42%,43%,142 of 293,113 of 246,7 of 30,2 of 15,23%,13%,0,0,0,0,2:22,1:37,71 of 207,76 of 199,30 of 37,22 of 30,10 of 15,6 of 8,88 of 219,92 of 219,22 of 37,12 of 18,1 of 3,0 of 0
521,Jiri Prochazka,Jamahal Hill,2,0,97 of 165,81 of 177,58%,45%,101 of 170,84 of 180,0 of 0,0 of 0,---,---,0,0,0,0,0:22,0:00,73 of 132,55 of 145,19 of 23,24 of 29,5 of 10,2 of 3,71 of 129,68 of 158,10 of 13,13 of 19,16 of 23,0 of 0
522,Jailton Almeida,Serghei Spivac,0,0,23 of 31,15 of 28,74%,53%,36 of 49,34 of 47,1 of 1,1 of 1,100%,100%,0,0,1,1,1:48,2:08,20 of 27,14 of 27,1 of 2,1 of 1,2 of 2,0 of 0,7 of 12,2 of 7,4 of 6,0 of 0,12 of 13,13 of 21
523,Kevin Holland,Reinier de Ridder,0,0,11 of 13,12 of 21,84%,57%,27 of 32,26 of 35,0 of 0,2 of 2,---,100%,0,1,0,0,0:00,3:25,10 of 12,11 of 20,1 of 1,1 of 1,0 of 0,0 of 0,1 of 2,0 of 0,1 of 1,0 of 0,9 of 10,12 of 21
524,Payton Talbott,Raoni Barcelos,0,0,49 of 84,62 of 85,58%,72%,59 of 95,91 of 115,1 of 1,8 of 15,100%,53%,0,2,0,0,1:25,9:43,39 of 74,59 of 81,7 of 7,2 of 3,3 of 3,1 of 1,37 of 67,18 of 30,7 of 10,5 of 5,5 of 7,39 of 50
525,Zach Reese,Azamat Bekoev,0,0,13 of 24,21 of 26,54%,80%,22 of 35,52 of 59,0 of 0,1 of 2,---,50%,0,0,0,0,0:00,2:14,13 of 22,16 of 19,0 of 2,3 of 4,0 of 0,2 of 3,1 of 7,3 of 6,1 of 1,0 of 0,11 of 16,18 of 20
526,Bogdan Guskov,Billy Elekana,0,0,47 of 71,20 of 28,66%,71%,59 of 85,28 of 37,0 of 0,1 of 1,---,100%,2,0,1,0,1:24,3:40,39 of 63,18 of 25,5 of 5,2 of 3,3 of 3,0 of 0,19 of 34,13 of 21,11 of 11,0 of 0,17 of 26,7 of 7
527,Grant Dawson,Diego Ferreira,0,0,56 of 98,41 of 61,57%,67%,195 of 269,84 of 113,6 of 11,0 of 0,54%,---,0,0,0,0,10:50,0:20,51 of 91,31 of 48,3 of 5,6 of 9,2 of 2,4 of 4,19 of 47,31 of 51,7 of 8,6 of 6,30 of 43,4 of 4
528,Karol Rosa,Ailin Perez,0,0,53 of 112,62 of 131,47%,47%,120 of 182,81 of 155,0 of 0,2 of 8,---,25%,0,0,0,0,0:00,4:15,20 of 67,28 of 87,6 of 11,11 of 17,27 of 34,23 of 27,49 of 105,56 of 121,2 of 5,2 of 3,2 of 2,4 of 7
529,Rinya Nakamura,Muin Gafurov,0,1,31 of 73,37 of 90,42%,41%,39 of 82,73 of 130,0 of 1,0 of 1,0%,0%,1,0,0,0,1:41,2:37,10 of 44,20 of 65,8 of 9,9 of 12,13 of 20,8 of 13,28 of 70,32 of 76,3 of 3,4 of 7,0 of 0,1 of 7
530,Ricky Turcios,Benardo Sopaj,0,1,78 of 144,81 of 139,54%,58%,113 of 187,97 of 155,1 of 9,2 of 3,11%,66%,0,0,0,0,1:56,2:30,30 of 86,64 of 117,24 of 32,8 of 11,24 of 26,9 of 11,60 of 120,48 of 99,18 of 22,16 of 20,0 of 2,17 of 20
531,Tagir Ulanbekov,Clayton Carpenter,0,0,42 of 75,42 of 69,56%,60%,100 of 138,86 of 117,3 of 6,1 of 4,50%,25%,0,0,0,0,6:49,3:01,35 of 68,20 of 40,5 of 5,9 of 14,2 of 2,13 of 15,27 of 55,25 of 50,2 of 2,5 of 6,13 of 18,12 of 13
532,Mackenzie Dern,Amanda Ribas,0,0,27 of 46,17 of 56,58%,30%,82 of 107,99 of 151,1 of 3,2 of 2,33%,100%,1,0,2,0,4:34,5:47,13 of 27,10 of 44,3 of 8,1 of 4,11 of 11,6 of 8,18 of 34,14 of 51,1 of 3,0 of 0,8 of 9,3 of 5
533,Santiago Ponzinibbio,Carlston Harris,1,1,76 of 175,73 of 196,43%,37%,76 of 175,78 of 211,0 of 0,0 of 5,---,0%,0,0,0,0,0:38,0:17,57 of 151,40 of 142,8 of 11,19 of 39,11 of 13,14 of 15,72 of 165,73 of 195,0 of 0,0 of 0,4 of 10,0 of 1
534,Cesar Almeida,Abdul Razak Alhassan,1,1,20 of 29,17 of 33,68%,51%,21 of 30,19 of 35,0 of 0,0 of 2,---,0%,0,0,0,0,0:03,1:31,3 of 9,13 of 29,9 of 11,4 of 4,8 of 9,0 of 0,16 of 25,9 of 21,4 of 4,4 of 5,0 of 0,4 of 7
535,Chris Curtis,Roman Kopylov,0,1,142 of 261,130 of 307,54%,42%,146 of 265,133 of 310,0 of 0,1 of 6,---,16%,0,0,0,0,0:00,0:49,107 of 204,91 of 266,30 of 52,14 of 16,5 of 5,25 of 25,142 of 261,124 of 300,0 of 0,4 of 5,0 of 0,2 of 2
536,Christian Rodriguez,Austin Bashi,0,0,44 of 82,23 of 50,53%,46%,55 of 93,32 of 60,2 of 4,3 of 18,50%,16%,2,0,2,0,3:20,5:41,32 of 68,12 of 34,12 of 14,9 of 11,0 of 0,2 of 5,32 of 66,17 of 43,8 of 12,5 of 6,4 of 4,1 of 1
537,Punahele Soriano,Uros Medic,1,0,13 of 17,2 of 3,76%,66%,13 of 17,2 of 3,0 of 0,0 of 0,---,---,0,0,0,0,0:04,0:00,12 of 16,1 of 2,0 of 0,1 of 1,1 of 1,0 of 0,5 of 8,2 of 3,0 of 0,0 of 0,8 of 9,0 of 0
538,Jose Johnson,Felipe Bunes,0,0,8 of 14,2 of 7,57%,28%,8 of 15,5 of 10,0 of 0,0 of 2,---,0%,0,2,0,0,0:48,0:11,3 of 8,2 of 7,3 of 4,0 of 0,2 of 2,0 of 0,7 of 11,2 of 7,0 of 2,0 of 0,1 of 1,0 of 0
539,Marco Tulio,Ihor Potieria,1,0,29 of 54,6 of 15,53%,40%,34 of 62,6 of 15,0 of 0,0 of 0,---,---,0,0,0,0,0:26,0:00,20 of 41,2 of 8,5 of 7,1 of 2,4 of 6,3 of 5,17 of 37,6 of 15,1 of 1,0 of 0,11 of 16,0 of 0
540,Thiago Moises,Trey Ogden,0,0,55 of 94,59 of 95,58%,62%,75 of 124,117 of 168,0 of 0,1 of 1,---,100%,0,0,1,0,7:30,0:11,36 of 65,24 of 57,2 of 4,7 of 9,17 of 25,28 of 29,22 of 51,58 of 94,0 of 0,0 of 0,33 of 43,1 of 1
541,Preston Parsons,Jacobe Smith,0,1,7 of 14,12 of 23,50%,52%,8 of 15,12 of 23,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:13,6 of 12,8 of 17,1 of 1,2 of 3,0 of 1,2 of 3,6 of 13,11 of 21,1 of 1,0 of 0,0 of 0,1 of 2
542,Ernesta Kareckaite,Nicolle Caliari,0,0,95 of 226,67 of 166,42%,40%,126 of 266,86 of 194,0 of 0,3 of 14,---,21%,0,0,0,0,1:33,3:34,77 of 199,36 of 120,18 of 26,22 of 35,0 of 1,9 of 11,87 of 213,63 of 156,8 of 13,3 of 5,0 of 0,1 of 5
543,Magomed Gadzhiyasulov,Bruno Lopes,0,0,31 of 67,33 of 70,46%,47%,68 of 106,73 of 126,0 of 3,5 of 14,0%,35%,0,0,0,0,0:14,9:19,9 of 40,21 of 48,10 of 13,10 of 13,12 of 14,2 of 9,24 of 54,8 of 39,7 of 13,22 of 26,0 of 0,3 of 5
544,Fatima Kline,Viktoriia Dudakova,0,0,15 of 32,1 of 3,46%,33%,42 of 72,4 of 6,2 of 2,2 of 6,100%,33%,0,0,3,1,6:05,2:37,13 of 30,0 of 2,1 of 1,0 of 0,1 of 1,1 of 1,2 of 7,1 of 3,2 of 2,0 of 0,11 of 23,0 of 0
545,Nurullo Aliev,Joe Solecki,0,0,35 of 88,28 of 68,39%,41%,81 of 150,52 of 98,2 of 2,1 of 1,100%,100%,0,1,0,0,8:13,0:36,29 of 81,24 of 60,5 of 6,1 of 4,1 of 1,3 of 4,26 of 65,26 of 65,1 of 2,0 of 0,8 of 21,2 of 3
546,Colby Covington,Joaquin Buckley,0,0,37 of 124,75 of 151,29%,49%,71 of 161,81 of 160,1 of 8,0 of 1,12%,0%,0,1,0,0,3:40,1:18,26 of 108,59 of 131,8 of 11,13 of 17,3 of 5,3 of 3,33 of 120,65 of 135,0 of 0,6 of 8,4 of 4,4 of 8
547,Cub Swanson,Billy Quarantillo,1,0,99 of 158,97 of 237,62%,40%,114 of 173,108 of 249,0 of 0,3 of 11,---,27%,0,0,0,0,0:10,2:07,74 of 127,65 of 188,13 of 18,20 of 32,12 of 13,12 of 17,95 of 154,91 of 222,4 of 4,6 of 15,0 of 0,0 of 0
548,Manel Kape,Bruno Silva,1,0,111 of 168,57 of 112,66%,50%,111 of 168,60 of 115,0 of 0,0 of 5,---,0%,0,0,0,0,0:01,0:00,71 of 127,27 of 74,18 of 19,21 of 29,22 of 22,9 of 9,109 of 165,55 of 110,2 of 2,2 of 2,0 of 1,0 of 0
549,Vitor Petrino,Dustin Jacoby,0,1,40 of 96,45 of 96,41%,46%,40 of 96,47 of 100,0 of 4,0 of 0,0%,---,0,0,0,0,0:40,0:20,27 of 79,23 of 69,6 of 7,7 of 9,7 of 10,15 of 18,40 of 96,39 of 87,0 of 0,5 of 8,0 of 0,1 of 1
550,Adrian Yanez,Daniel Marcos,0,0,79 of 183,86 of 147,43%,58%,85 of 189,95 of 156,0 of 1,2 of 4,0%,50%,0,0,0,0,1:15,3:23,57 of 156,60 of 111,8 of 10,9 of 16,14 of 17,17 of 20,79 of 182,81 of 142,0 of 1,3 of 3,0 of 0,2 of 2
551,Navajo Stirling,Tuco Tokkos,0,0,78 of 155,32 of 90,50%,35%,99 of 181,34 of 93,0 of 0,3 of 9,---,33%,0,0,0,0,0:54,3:36,33 of 94,18 of 70,37 of 50,5 of 5,8 of 11,9 of 15,70 of 142,28 of 80,8 of 13,4 of 10,0 of 0,0 of 0
552,Michael Johnson,Ottman Azaitar,1,0,19 of 50,16 of 56,38%,28%,19 of 50,20 of 61,0 of 1,0 of 0,0%,---,0,0,0,0,0:12,0:00,13 of 37,8 of 39,3 of 8,7 of 12,3 of 5,1 of 5,16 of 46,15 of 55,1 of 1,1 of 1,2 of 3,0 of 0
553,Joel Alvarez,Drakkar Klose,0,0,20 of 24,7 of 13,83%,53%,39 of 44,16 of 23,0 of 0,1 of 1,---,100%,0,0,0,0,0:04,1:08,15 of 19,1 of 6,4 of 4,2 of 3,1 of 1,4 of 4,12 of 16,7 of 12,8 of 8,0 of 1,0 of 0,0 of 0
554,Sean Woodson,Fernando Padilla,1,0,38 of 71,22 of 69,53%,31%,38 of 71,24 of 72,0 of 0,0 of 0,---,---,0,0,0,0,1:03,0:09,35 of 64,14 of 59,0 of 3,4 of 6,3 of 4,4 of 4,36 of 69,17 of 61,0 of 0,5 of 8,2 of 2,0 of 0
555,Miles Johns,Felipe Lima,0,0,31 of 137,55 of 134,22%,41%,35 of 143,60 of 140,0 of 1,2 of 5,0%,40%,0,1,1,0,1:35,2:55,21 of 122,43 of 112,5 of 7,7 of 10,5 of 8,5 of 12,31 of 135,52 of 126,0 of 2,3 of 5,0 of 0,0 of 3
556,Miranda Maverick,Jamey-Lyn Horth,0,0,24 of 68,15 of 55,35%,27%,61 of 117,63 of 111,2 of 9,1 of 3,22%,33%,0,1,0,1,6:50,3:18,12 of 50,11 of 45,5 of 6,3 of 8,7 of 12,1 of 2,23 of 65,14 of 54,1 of 2,1 of 1,0 of 1,0 of 0
557,Davey Grant,Ramon Taveras,0,0,147 of 290,69 of 156,50%,44%,147 of 290,69 of 156,0 of 1,0 of 0,0%,---,0,0,0,0,0:00,0:00,50 of 158,63 of 149,42 of 67,5 of 6,55 of 65,1 of 1,147 of 290,67 of 152,0 of 0,2 of 3,0 of 0,0 of 1
558,Josefine Knutsson,Piera Rodriguez,0,0,26 of 55,36 of 64,47%,56%,67 of 100,85 of 137,0 of 0,8 of 10,---,80%,0,0,0,0,1:17,10:24,16 of 43,26 of 51,8 of 9,8 of 10,2 of 3,2 of 3,12 of 30,12 of 26,14 of 25,11 of 16,0 of 0,13 of 22
559,Alexandre Pantoja,Kai Asakura,0,0,32 of 52,17 of 29,61%,58%,33 of 53,30 of 44,3 of 7,0 of 0,42%,---,1,0,0,0,2:46,0:24,15 of 33,10 of 20,5 of 5,5 of 6,12 of 14,2 of 3,30 of 50,17 of 28,2 of 2,0 of 1,0 of 0,0 of 0
560,Shavkat Rakhmonov,Ian Machado Garry,0,0,37 of 67,42 of 84,55%,50%,65 of 102,102 of 157,2 of 10,1 of 2,20%,50%,0,2,1,0,11:41,2:32,29 of 55,11 of 40,6 of 10,10 of 15,2 of 2,21 of 29,24 of 50,35 of 72,3 of 4,7 of 12,10 of 13,0 of 0
561,Ciryl Gane,Alexander Volkov,0,0,43 of 61,39 of 71,70%,54%,48 of 66,105 of 140,2 of 4,3 of 4,50%,75%,2,1,0,0,3:40,4:32,14 of 30,19 of 46,10 of 11,18 of 20,19 of 20,2 of 5,40 of 57,36 of 67,0 of 1,3 of 4,3 of 3,0 of 0
562,Bryce Mitchell,Kron Gracie,0,0,26 of 36,6 of 31,72%,19%,147 of 177,90 of 118,2 of 2,0 of 0,100%,---,0,1,0,0,8:33,0:02,14 of 23,4 of 25,9 of 10,1 of 3,3 of 3,1 of 3,17 of 26,5 of 30,5 of 5,1 of 1,4 of 5,0 of 0
563,Nate Landwehr,Dooho Choi,0,0,25 of 67,78 of 116,37%,67%,32 of 77,114 of 157,0 of 0,4 of 5,---,80%,0,0,0,0,0:42,7:13,13 of 47,61 of 98,9 of 15,9 of 9,3 of 5,8 of 9,15 of 55,62 of 99,10 of 12,4 of 4,0 of 0,12 of 13
564,Dominick Reyes,Anthony Smith,0,0,121 of 162,21 of 46,74%,45%,172 of 232,24 of 49,0 of 0,0 of 4,---,0%,0,0,0,0,3:51,0:01,110 of 149,14 of 36,8 of 10,5 of 7,3 of 3,2 of 3,48 of 75,19 of 43,17 of 22,2 of 3,56 of 65,0 of 0
565,Vicente Luque,Themba Gorimbo,0,0,2 of 6,5 of 9,33%,55%,2 of 6,5 of 9,0 of 0,0 of 0,---,---,1,0,0,0,0:14,0:00,1 of 4,1 of 5,0 of 0,1 of 1,1 of 2,3 of 3,2 of 6,5 of 9,0 of 0,0 of 0,0 of 0,0 of 0
566,Movsar Evloev,Aljamain Sterling,0,0,8 of 26,12 of 26,30%,46%,136 of 165,45 of 67,4 of 5,6 of 8,80%,75%,0,0,1,2,6:09,6:16,6 of 23,7 of 16,1 of 1,5 of 8,1 of 2,0 of 2,6 of 22,9 of 23,0 of 1,2 of 2,2 of 3,1 of 1
567,Randy Brown,Bryan Battle,0,0,60 of 111,57 of 110,54%,51%,80 of 135,109 of 175,2 of 5,0 of 6,40%,0%,0,0,0,0,1:46,7:25,32 of 79,20 of 64,22 of 26,31 of 38,6 of 6,6 of 8,49 of 96,27 of 76,11 of 15,30 of 34,0 of 0,0 of 0
568,Chris Weidman,Eryk Anders,1,0,16 of 36,62 of 102,44%,60%,27 of 50,121 of 193,0 of 1,0 of 6,0%,0%,1,0,0,0,2:15,4:24,11 of 30,56 of 96,5 of 6,6 of 6,0 of 0,0 of 0,12 of 23,7 of 25,0 of 2,7 of 12,4 of 11,48 of 65
569,Cody Durden,Joshua Van,0,0,70 of 217,165 of 304,32%,54%,74 of 223,184 of 323,2 of 8,0 of 0,25%,---,0,0,0,0,3:14,0:20,60 of 203,131 of 262,6 of 8,22 of 27,4 of 6,12 of 15,70 of 217,144 of 279,0 of 0,19 of 22,0 of 0,2 of 3
570,Michael Chiesa,Max Griffin,0,0,13 of 39,10 of 34,33%,29%,54 of 87,18 of 43,2 of 8,0 of 1,25%,0%,1,0,0,0,3:48,1:19,11 of 33,9 of 33,2 of 6,1 of 1,0 of 0,0 of 0,9 of 29,10 of 30,4 of 10,0 of 4,0 of 0,0 of 0
571,Clay Guida,Chase Hooper,0,0,5 of 13,7 of 15,38%,46%,6 of 15,14 of 28,0 of 1,3 of 6,0%,50%,0,1,0,0,0:00,2:08,3 of 9,5 of 10,2 of 4,2 of 5,0 of 0,0 of 0,2 of 10,5 of 12,3 of 3,1 of 2,0 of 0,1 of 1
572,Kennedy Nzechukwu,Lukasz Brzeski,1,0,29 of 70,32 of 69,41%,46%,29 of 70,32 of 69,0 of 0,0 of 2,---,0%,0,0,0,0,0:04,0:00,19 of 55,16 of 50,10 of 13,6 of 9,0 of 2,10 of 10,26 of 67,32 of 69,0 of 0,0 of 0,3 of 3,0 of 0
573,Petr Yan,Deiveson Figueiredo,0,0,121 of 193,53 of 119,62%,44%,190 of 263,53 of 119,1 of 4,2 of 8,25%,25%,0,0,1,0,3:21,3:00,78 of 142,23 of 75,18 of 21,24 of 36,25 of 30,6 of 8,103 of 172,49 of 112,13 of 15,4 of 7,5 of 6,0 of 0
574,Yan Xiaonan,Tabatha Ricci,0,0,78 of 161,15 of 103,48%,14%,89 of 172,17 of 106,0 of 0,1 of 3,---,33%,0,0,0,0,0:00,0:16,45 of 118,8 of 85,25 of 34,1 of 4,8 of 9,6 of 14,77 of 159,15 of 101,1 of 2,0 of 2,0 of 0,0 of 0
575,Song Kenan,Muslim Salikhov,0,1,9 of 21,20 of 28,42%,71%,11 of 23,20 of 28,0 of 1,0 of 1,0%,0%,0,0,0,0,0:19,0:02,4 of 15,7 of 14,1 of 2,3 of 4,4 of 4,10 of 10,8 of 20,19 of 27,1 of 1,0 of 0,0 of 0,1 of 1
576,Wang Cong,Gabriella Fernandes,0,1,46 of 111,18 of 59,41%,30%,48 of 113,19 of 61,0 of 1,0 of 2,0%,0%,0,1,0,0,0:00,0:28,15 of 66,13 of 50,21 of 32,2 of 3,10 of 13,3 of 6,46 of 111,18 of 58,0 of 0,0 of 0,0 of 0,0 of 1
577,Volkan Oezdemir,Carlos Ulberg,0,0,96 of 183,98 of 204,52%,48%,96 of 183,98 of 204,0 of 2,0 of 0,0%,---,0,0,0,0,0:03,0:00,51 of 131,81 of 182,17 of 24,9 of 13,28 of 28,8 of 9,95 of 182,98 of 204,1 of 1,0 of 0,0 of 0,0 of 0
578,Zhang Mingyang,Ozzy Diaz,1,0,17 of 34,9 of 12,50%,75%,19 of 38,9 of 12,0 of 0,0 of 0,---,---,0,0,0,0,0:05,0:00,9 of 24,4 of 7,2 of 4,5 of 5,6 of 6,0 of 0,15 of 26,9 of 12,0 of 0,0 of 0,2 of 8,0 of 0
579,Baergeng Jieleyisi,SuYoung You,0,0,9 of 72,42 of 87,12%,48%,48 of 114,85 of 131,1 of 1,2 of 5,100%,40%,0,0,0,0,0:17,4:46,4 of 63,28 of 71,4 of 8,4 of 6,1 of 1,10 of 10,9 of 72,36 of 77,0 of 0,3 of 4,0 of 0,3 of 6
580,Kiru Sahota,DongHun Choi,0,1,2 of 23,12 of 19,8%,63%,5 of 26,12 of 19,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:01,0 of 17,6 of 12,0 of 2,2 of 3,2 of 4,4 of 4,2 of 23,12 of 17,0 of 0,0 of 1,0 of 0,0 of 1
581,Shi Ming,Feng Xiaocan,1,0,30 of 108,48 of 102,27%,47%,33 of 112,58 of 114,1 of 2,0 of 0,50%,---,0,0,0,1,0:55,1:05,13 of 76,29 of 77,11 of 24,2 of 7,6 of 8,17 of 18,28 of 101,47 of 100,0 of 4,0 of 1,2 of 3,1 of 1
582,Nyamjargal Tumendemberel,Carlos Hernandez,1,0,26 of 93,44 of 105,27%,41%,28 of 95,46 of 110,0 of 3,4 of 14,0%,28%,1,0,1,0,0:15,4:45,18 of 82,26 of 85,5 of 7,8 of 9,3 of 4,10 of 11,24 of 84,40 of 94,1 of 4,3 of 9,1 of 5,1 of 2
583,Lone'er Kavanagh,Jose Ochoa,0,0,51 of 126,50 of 158,40%,31%,51 of 126,59 of 168,0 of 2,0 of 1,0%,0%,0,1,0,0,0:00,0:36,24 of 74,13 of 78,12 of 28,13 of 40,15 of 24,24 of 40,50 of 124,49 of 156,1 of 2,1 of 2,0 of 0,0 of 0
584,Xiao Long,Quang Le,1,0,87 of 192,64 of 155,45%,41%,92 of 198,68 of 160,0 of 3,1 of 2,0%,50%,0,0,0,0,0:26,0:07,66 of 158,39 of 126,8 of 16,23 of 27,13 of 18,2 of 2,80 of 178,59 of 148,5 of 11,5 of 7,2 of 3,0 of 0
585,Maheshate,Nikolas Motta,0,2,56 of 169,78 of 166,33%,46%,60 of 173,87 of 183,0 of 0,0 of 0,---,---,0,0,0,0,0:00,1:32,29 of 133,61 of 144,9 of 13,7 of 11,18 of 23,10 of 11,53 of 160,67 of 147,3 of 9,2 of 7,0 of 0,9 of 12
586,Jon Jones,Stipe Miocic,1,0,96 of 119,37 of 89,80%,41%,104 of 128,42 of 94,1 of 1,0 of 0,100%,---,0,0,0,0,3:51,0:00,70 of 91,24 of 75,16 of 18,7 of 8,10 of 10,6 of 6,54 of 70,32 of 83,2 of 3,4 of 5,40 of 46,1 of 1
587,Charles Oliveira,Michael Chandler,0,0,88 of 122,84 of 113,72%,74%,117 of 153,150 of 181,5 of 12,0 of 1,41%,0%,2,0,0,0,14:52,1:59,56 of 82,59 of 85,18 of 25,16 of 18,14 of 15,9 of 10,67 of 98,60 of 89,3 of 5,0 of 0,18 of 19,24 of 24
588,Bo Nickal,Paul Craig,0,0,54 of 85,47 of 129,63%,36%,54 of 85,48 of 130,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:00,24 of 50,21 of 93,13 of 16,14 of 23,17 of 19,12 of 13,54 of 85,47 of 129,0 of 0,0 of 0,0 of 0,0 of 0
589,Viviane Araujo,Karine Silva,0,0,48 of 85,58 of 132,56%,43%,105 of 152,76 of 155,3 of 3,1 of 7,100%,14%,1,1,0,0,2:25,3:30,34 of 70,26 of 83,4 of 5,10 of 19,10 of 10,22 of 30,41 of 76,45 of 117,1 of 1,11 of 13,6 of 8,2 of 2
590,Mauricio Ruffy,James Llontop,1,0,67 of 113,90 of 236,59%,38%,74 of 120,112 of 260,0 of 0,0 of 6,---,0%,0,0,0,0,0:16,1:20,53 of 97,29 of 143,6 of 8,39 of 62,8 of 8,22 of 31,57 of 101,75 of 215,3 of 3,15 of 21,7 of 9,0 of 0
591,Jonathan Martinez,Marcus McGhee,0,0,48 of 108,102 of 223,44%,45%,49 of 109,105 of 226,0 of 0,0 of 0,---,---,0,0,0,0,0:57,0:00,24 of 76,60 of 167,3 of 8,18 of 27,21 of 24,24 of 29,46 of 105,100 of 220,2 of 3,2 of 3,0 of 0,0 of 0
592,Jim Miller,Damon Jackson,0,0,10 of 24,16 of 31,41%,51%,11 of 25,16 of 31,0 of 0,0 of 3,---,0%,1,0,0,0,0:00,0:27,5 of 19,8 of 17,2 of 2,6 of 12,3 of 3,2 of 2,9 of 23,16 of 31,1 of 1,0 of 0,0 of 0,0 of 0
593,David Onama,Roberto Romero,1,1,121 of 213,74 of 155,56%,47%,145 of 242,79 of 165,1 of 3,0 of 0,33%,---,1,0,0,0,4:23,1:14,91 of 171,30 of 97,18 of 28,14 of 21,12 of 14,30 of 37,85 of 153,68 of 144,8 of 11,5 of 8,28 of 49,1 of 3
594,Marcin Tybura,Jhonata Diniz,0,0,35 of 49,15 of 29,71%,51%,153 of 187,27 of 44,1 of 3,0 of 0,33%,---,0,0,1,0,7:14,0:36,33 of 46,13 of 27,1 of 2,1 of 1,1 of 1,1 of 1,9 of 19,8 of 18,0 of 0,1 of 1,26 of 30,6 of 10
595,Mickey Gall,Ramiz Brahimaj,0,1,28 of 41,31 of 56,68%,55%,30 of 43,31 of 56,0 of 0,0 of 0,---,---,0,0,0,0,0:00,0:03,25 of 38,27 of 50,3 of 3,1 of 3,0 of 0,3 of 3,26 of 39,22 of 43,2 of 2,6 of 9,0 of 0,3 of 4
596,Bassil Hafez,Oban Elliott,0,1,24 of 70,65 of 117,34%,55%,24 of 70,66 of 118,0 of 0,0 of 0,---,---,0,0,0,0,0:06,0:05,16 of 55,22 of 60,2 of 9,16 of 24,6 of 6,27 of 33,23 of 69,55 of 107,1 of 1,2 of 2,0 of 0,8 of 8
